Company name,Status,Industry,Salary-Cuts,Location
Deluxe Entertainment,Layoffs,Media & Entertainment,Yes,Banglore
Dentsu Aegis,Hiring,Marketing & Advertising,,India
Desai,Hiring freezes,Financial Services,No,India
Detales Brand Communications,Hiring,Marketing & Advertising,,Mumbai.
Deutsche Telekom Digital Limited,Hiring,Communications,No,India
Diageo,Hiring freezes,Consumer Goods,No,Bangalore
Digital Vidya,Layoffs,Education Tech,Yes,New Delhi
Dineout,Hiring freezes,Food & Dining,No,India
DishTV,Hiring,Media & Entertainment,No,India
Docs App,Layoffs,Healthcare,Yes,Bangalore
DoctorPlan,Hiring,Healthcare,,"India, US"
Dot square,Layoffs,Business Software,Yes,Jaipur
Doto Studio,Hiring freezes,Marketing & Advertising,Yes,"Toronto, Bangalore"
Dr. Vaidya's,Hiring,Retail,,India
Dr. Vaidyas Herbolab,Hiring,Healthcare,No,Mumbai
Dream11,Hiring,,,Mumbai
Dream11,Hiring,Consumer Tech,,India
Dream11,Hiring freezes,Media & Entertainment,No,Mumbai
DRG Analytics/Clarivate,Layoffs,Consulting & Services,,India
DrinkPrime,Hiring,Consumer Services,No,Bangalore
Drip Capital,Hiring freezes,Financial Services,No,Mumbai
Drip Capital,Hiring freezes,Financial Services,Yes,India
DriveU,Layoffs,Consumer Services,Yes,Bangalore
Drivezy,Layoffs,Automotive,Yes,Bangalore
Droice Labs,Hiring,Healthcare,No,"New York, Bangalore, Moscow"
Droom,Layoffs,Automotive,Yes,Gurgaon
Druva,Hiring freezes,Business Software,No,Pune
DTDC,Hiring,Consulting & Services,,Mumbai
DTDC,Hiring,Consumer Services,,India
Dunzo,Hiring,Consumer Services,No,Bangalore
DXC TECHNOLOGIES,Hiring freezes,Consulting & Services,No,
DXC technology,Hiring freezes,IT Infrastucture,No,India
E2E Networks Limited,Layoffs,IT Infrastucture,Yes,India
Easy Eat,Hiring,Food & Dining,No,Gurgaon
Ecom Express,Layoffs,Travel & Transportation,Yes,
Economic Times,Layoffs,Media & Entertainment,,India
Edelweiss Financial Services,Hiring freezes,Financial Services,No,Mumbai
Edge Networks,Layoffs,HR Tech,Yes,Bangalore
Edureka,Hiring freezes,Education Tech,Yes,India
Egnify Technologies,Hiring freezes,Education Tech,No,
Eicher,Hiring freezes,Automotive,No,Indore
Ekincare,Layoffs,Healthcare,Yes,Hyderabad
Elucian,Hiring,,,
Elucidata Corporation,Hiring freezes,Healthcare,Yes,"Delhi, Bangalore, Boston"
Embibe,Hiring,Education Tech,No,Bangalore
Emids,Hiring,Healthcare,No,
Emirates airlines,Layoffs,Travel & Transportation,Yes,Dubai
Emproto Technologies,Hiring,Business Software,No,India
Enable inc,Hiring,Healthcare,No,Chennai
Engagedly,Hiring,Information Technology,,Bangalore
Engagely.ai,Hiring,Financial Services,,Mumbai
Engagely.ai,Hiring,Business Software,,Bangalore
Enquero global,Hiring freezes,Consulting & Services,,Bangalore
Envestnet Yodlee,Layoffs,Financial Services,Yes,Bangalore
Equirus Capital,Hiring,Financial Services,No,mumbai
Ergode IT Services,Hiring freezes,E-Commerce,No,"Mumbai, Kolkata, Siliguri"
Ernst & Young,Hiring freezes,Consulting & Services,,India
Eurofins,Hiring,Information Technology,No,
Evelabs,Hiring,Healthcare,,India
Everwell Health solutions,Hiring,Healthcare,,Bangalore
Exito Media Concepts,Hiring freezes,Consulting & Services,Yes,
EXL Services,Layoffs,Consulting & Services,No,Bangalore
EXL Services,Hiring freezes,Consulting & Services,Yes,"Gurgaon, Bangalore, US"
Exotel,Hiring freezes,Business Software,Yes,Bangalore
Expedia,Hiring freezes,Travel & Transportation,,India
Extramarks,Layoffs,Education Tech,Yes,
Extramarks Education,Hiring,Education Tech,,India
Extramarks Education,Hiring,Education Tech,,Gujarat
Extramarks Education,Hiring,Education Tech,,Gujarat
FabAlley,Hiring freezes,Retail,Yes,Noida
FABgetaways,Hiring,Travel & Transportation,No,Ahmedabad
FabHotels,Hiring freezes,Hospitality,Yes,India
FabHotels,Layoffs,Hospitality,Yes,Gurgaon
